blind_id	project	rep	condition	src
R001	ledger-api	2	claude1	ledger-api/rep2/claude1.md
R002	ingestd	2	claude3	ingestd/rep2/claude3.md
R003	ledger-api	2	claude2	ledger-api/rep2/claude2.md
R004	pulse-dashboard	1	codex1	pulse-dashboard/rep1/codex1.md
R005	ledger-api	1	claude3	ledger-api/rep1/claude3.md
R006	pulse-dashboard	2	claude3	pulse-dashboard/rep2/claude3.md
R007	ingestd	1	gemini1	ingestd/rep1/gemini1.md
R008	pulse-dashboard	2	claude1	pulse-dashboard/rep2/claude1.md
R009	ingestd	1	claude1	ingestd/rep1/claude1.md
R010	pulse-dashboard	1	claude3	pulse-dashboard/rep1/claude3.md
R011	taskflow-api	1	codex1	taskflow-api/rep1/codex1.md
R012	ledger-api	1	claude2	ledger-api/rep1/claude2.md
R013	ledger-api	1	codex1	ledger-api/rep1/codex1.md
R014	pulse-dashboard	2	gemini1	pulse-dashboard/rep2/gemini1.md
R015	pulse-dashboard	1	gemini1	pulse-dashboard/rep1/gemini1.md
R016	taskflow-api	1	claude2	taskflow-api/rep1/claude2.md
R017	ingestd	1	claude2	ingestd/rep1/claude2.md
R018	ledger-api	1	claude1	ledger-api/rep1/claude1.md
R019	ingestd	2	claude2	ingestd/rep2/claude2.md
R020	ingestd	2	codex1	ingestd/rep2/codex1.md
R021	ledger-api	2	gemini1	ledger-api/rep2/gemini1.md
R022	ledger-api	2	claude3	ledger-api/rep2/claude3.md
R023	pulse-dashboard	2	codex1	pulse-dashboard/rep2/codex1.md
R024	taskflow-api	2	gemini1	taskflow-api/rep2/gemini1.md
R025	taskflow-api	2	claude2	taskflow-api/rep2/claude2.md
R026	taskflow-api	1	gemini1	taskflow-api/rep1/gemini1.md
R027	pulse-dashboard	1	claude1	pulse-dashboard/rep1/claude1.md
R028	ingestd	1	codex1	ingestd/rep1/codex1.md
R029	taskflow-api	1	claude1	taskflow-api/rep1/claude1.md
R030	ingestd	1	claude3	ingestd/rep1/claude3.md
R031	pulse-dashboard	1	claude2	pulse-dashboard/rep1/claude2.md
R032	ledger-api	1	gemini1	ledger-api/rep1/gemini1.md
R033	taskflow-api	1	claude3	taskflow-api/rep1/claude3.md
R034	taskflow-api	2	codex1	taskflow-api/rep2/codex1.md
R035	ingestd	2	claude1	ingestd/rep2/claude1.md
R036	ingestd	2	gemini1	ingestd/rep2/gemini1.md
R037	taskflow-api	2	claude1	taskflow-api/rep2/claude1.md
R038	pulse-dashboard	2	claude2	pulse-dashboard/rep2/claude2.md
R039	ledger-api	2	codex1	ledger-api/rep2/codex1.md
R040	taskflow-api	2	claude3	taskflow-api/rep2/claude3.md
